 PMT #,X,Y
1,378.8990132,190.70401
2,420.2860491,189.4082845
3,461.2975919,189.4991965
4,504.3563251,188.2754745
5,545.8371567,187.6547068
6,587.5684848,186.347499
7,629.8296827,185.35852
8,671.0652749,185.08652
9,712.6223917,184.3519565
10,754.9901213,182.8289212
11,796.0841148,184.2037382
12,838.0520345,182.5092979
13,880.5845106,182.0336851
14,922.3218528,182.5129458
15,963.4350999,180.8634949
16,1005.036872,180.249347
32,984.6995949,217.0163506
48,1006.845185,251.4862379
64,986.1499683,289.2258438
80,1008.021266,325.5800974
96,987.1046058,361.3496186
112,1008.681615,397.6773405
128,987.6087291,433.5332068
144,1010.591034,469.9695097
160,989.028356,507.8799044
176,1011.327633,543.0759713
192,990.3415181,580.7176053
208,1011.518408,614.9710348
224,991.3725217,652.4397815
240,1011.949453,688.6057499
256,991.5455464,725.4836902
255,950.812081,725.67206
254,908.7671754,727.1165953
253,867.1873614,727.4483489
252,824.904005,728.7177926
251,783.4501241,728.137775
250,742.6971799,729.7814054
249,700.2541792,729.6117575
248,659.5934075,729.9592892
247,615.4942165,731.9533
246,575.0351526,732.8291522
245,532.5983103,732.5987402
244,491.0408132,732.6200642
243,449.4587844,732.6587015
242,409.0969775,734.9115081
241,366.693512,734.7016207
225,387.6212817,697.8580924
209,364.9203076,661.7474937
193,385.0941406,624.7353315
177,363.5900857,590.1580288
161,383.5307954,552.5595638
145,362.2645679,518.125335
129,382.8190348,480.9329439
113,361.67342,444.2549825
97,382.2181368,406.5463977
81,360.0222931,371.6326583
65,381.5229043,334.1172849
49,359.3834866,299.7669188
33,379.3810908,262.3479678
17,358.6519161,226.4518727
136,675.6164197,475.5482215
137,716.7335048,474.8496757
120,653.6249562,439.916718
