PMT's #,X,Y
1,1116.878,556.145
2,1238.922,556.121
3,1362.736,554.134
4,1488.004,552.278
5,1610.195,552.208
6,1729.778,549.278
7,1851.58,545.855
8,1973.469,545.283
9,2094.309,544.197
10,2219.027,542.911
11,2338.921,541.369
12,2463.369,540.067
13,2583.633,536.612
14,2710.774,538.977
15,2833.349,536.561
16,2952.99,534.692
32,2894.681,643.102
48,2951.45,751.123
64,2894.387,855.767
80,2955.989,961.259
96,2894.718,1069.016
112,2958.001,1173.121
128,2896.432,1277.871
144,2960.624,1382.216
160,2904.523,1488.94
176,2961.566,1594.891
192,2901.329,1699.987
208,2961.104,1801.729
224,2901.104,1907.532
240,2963.519,2015.328
256,2903.534,2123.356
255,2783.025,2124.352
254,2664.204,2124.992
253,2537.953,2124.83
252,2415.28,2124.203
251,2298.034,2132.344
250,2173.346,2130.688
249,2048.813,2128.107
248,1929.588,2133.122
247,1809.275,2136.741
246,1685.209,2137.445
245,1567.313,2139.779
244,1445.051,2141.361
243,1324.684,2142.486
242,1199.612,2141.956
241,1076.482,2143.212
225,1137.066,2033.643
209,1075.501,1926.919
193,1135.312,1825.537
177,1072.875,1720.597
161,1132.523,1613.016
145,1068.196,1506.016
129,1128.42,1403.581
113,1064.573,1294.353
97,1128.009,1188.522
81,1062.132,1083.336
65,1124.595,979.556
49,1058.712,874.088
33,1120.934,767.141
17,1053.741,662.755
136,1981.632,1395.193
137,2108.38,1389.961
120,1920.417,1287.923
,,
,x,y
1,0,0
2,0,0
3,0,0
4,0,0
