 PMT #,X,Y
1,390.3181763,184.2378786
2,431.7815784,184.8107889
3,473.6047551,184.118074
4,515.4941378,184.3732713
5,556.88523,183.9727607
6,598.6537236,183.9218416
7,639.8835481,183.773486
8,681.8266984,183.0329736
9,723.4170565,184.4004086
10,765.8202139,184.3738646
11,807.7476353,184.1508117
12,849.6128279,185.1254509
13,891.7920997,183.6319349
14,933.492118,184.718097
15,975.4373493,183.7208944
16,1017.39489,184.5685389
32,996.6613356,220.5154914
48,1019.297144,256.612194
64,996.4717299,292.1299951
80,1019.783336,329.4529125
96,996.9428162,365.5695658
112,1018.432956,402.6734427
128,998.808996,438.7555502
144,1019.009998,474.5717404
160,998.1740628,510.7266208
176,1018.636913,546.4466895
192,997.1949976,583.8967918
208,1018.453512,619.02157
224,997.5918603,654.7527179
240,1017.853975,691.2650262
256,997.2217582,727.0976319
255,954.7746606,728.64572
254,913.4955984,728.9972271
253,872.2171629,728.890118
252,829.5836322,727.2960157
251,789.1720384,728.2833609
250,745.4802805,728.4097957
249,703.9305862,728.2979753
248,663.0654976,728.7226672
247,619.4284281,727.6800985
246,578.7695473,728.9876655
245,535.0443387,728.3159718
244,494.2606128,727.2755544
243,453.2246685,728.8929982
242,411.6948299,727.8315298
241,371.224891,729.6314754
225,390.7176764,692.4126865
209,368.6807464,655.8677251
193,389.8885795,619.2882637
177,369.0202939,582.5550188
161,389.7212749,546.4156226
145,368.7936495,509.617582
129,389.3673312,474.2087175
113,368.0821283,437.736573
97,388.6071885,402.1100958
81,367.6436266,365.8793493
65,389.9962133,328.7426308
49,367.2387498,294.3339759
33,389.3440777,256.8347556
17,367.5416776,220.9560619
136,683.7581564,474.4077245
137,724.7818454,474.6738126
120,659.9480801,436.7557683
